Index	Rewards	 Distance
1552      -1        1
1553      -1        1
1554      -1        3
1555      -1        1
1556      14        1
1557      14        3
1558      -1        1
1559      -1        1
1560      -1        1
1561      -2        1
1562      -1        3
1563      -1        1
1564      -1        3
1565      -2        1
1566      -1        3
1567      -1        3
1568      -1        3
1569      -1        2
1570      -1        2
1571      -1        2
1572      -1        2
1573      -2        2
1574      -1        2
1575      -1        2
1576      -1        2
1577      -1        4
1578      -1        2
1579      -1        2
1580      -1        2
1581      -1        2
1582      -1        2
1583      -1        2
1584      -1        4
1585      -1        4
1586      -1        4
1587      -1        4
1588      -1        2
1589      -1        4
1590      -1        4
1591      -1        4
1592      -1        4
1593      -1        4
1594      -2        4
1595      -1        2
1596      -1        2
1597      -1        2
1598      -1        4
1599      -1        2
1600      -1        2
1601      -1        1
1602      -2        3
1603      -1        3
1604      -1        3
1605      -1        3
1606      14        5
1607      -1        5
1608      -1        3
1609      -1        3
1610      -1        3
1611      -1        3
1612      -2        3
1613      -1        5
1614      -1        5
1615      -1        3
1616      -2        3
1617      -1        5
1618      14        5
1619      -1        3
1620      -1        3
1621      -1        1
1622      -2        3
1623      -1        3
1624      -1        1
1625      -2        3
1626      -1        3
1627      -1        3
1628      -1        3
1629      -1        3
1630      -1        3
1631      -1        1
1632      -1        1
1633      -1        1
1634      -1        2
1635      -1        4
1636      -1        4
1637      -1        4
1638      -1        2
1639      -1        2
1640      -1        2
1641      -1        2
1642      -1        2
1643      -1        2
1644      -1        2
1645      -2        2
1646      -1        2
1647      -1        2
1648      -1        4
1649      -2        4
1650      -1        2
1651      -1        2
1652      -1        2
1653      -2        2
1654      -2        4
1655      -1        2
1656      -1        4
1657      -1        2
1658      -1        4
1659      14        4
1660      -1        4
1661      -1        4
1662      -1        2
1663      -1        2
1664      -1        4
1665      -1        4
1666      -1        2
1667      -1        2
1668      -1        2
1669      -1        2
1670      -1        2
1671      -2        2
1672      -1        2
1673      -1        2
1674      -2        4
1675      -1        4
1676      -1        2
1677      -1        4
1678      -2        4
1679      -1        4
1680      -1        2
1681      -1        2
1682      -2        2
1683      -1        4
1684      -1        4
1685      -1        2
1686      -1        2
1687      -1        2
1688      -1        2
1689      -1        4
1690      -1        6
1691      -1        4
1692      -1        2
1693      -1        2
1694      -1        4
1695      -2        2
1696      -1        2
1697      -1        2
1698      -1        2
1699      -2        2
1700      -1        2
1701      14        2
1702      -1        2
1703      -1        2
1704      -1        2
1705      -1        2
1706      -1        2
1707      -1        4
1708      -1        4
1709      -2        2
1710      14        2
1711      -1        2
1712      -1        4
1713      -1        4
1714      -1        2
1715      14        2
1716      -1        4
1717      -1        4
1718      -1        4
1719      -1        4
1720      -1        4
1721      -1        4
1722      14        4
1723      -1        4
1724      -1        2
1725      -1        2
1726      -1        2
